,Job Title,Salary Estimate,Company Name,Rating,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,employer_provided,min_salary,max_salary,avg_salary,company_txt,job_state,age,job_simp,seniority
0,Data Scientist I,Employer Provided Salary:$102K - $148K,Indeed,4.3,Remote,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),0,1,102,148,125,Ind,Remote,17,data scientist,na
1,Data Scientist - Entry Level,$69K - $115K (Glassdoor est.),JPL/NASA,4.5,"Pasadena, CA",5001 to 10000 Employees,1936,Nonprofit Organization,Federal Agencies,Government,Unknown / Non-Applicable,0,0,69,115,92,JPL/N,CA,85,data scientist,na
2,University Grad Data Scientist,$97K - $186K (Glassdoor est.),Pinterest,4.2,"San Francisco, CA",1001 to 5000 Employees,2010,Company - Public,Internet,Information Technology,$100 to $500 million (USD),0,0,97,186,141.5,Pinter,CA,11,data scientist,na
3,"Data Scientist, University Graduate - 2022 Start",$56K - $132K (Glassdoor est.),TikTok,-1,"Los Angeles, CA",1001 to 5000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,0,0,56,132,94,TikTok,CA,5,data scientist,na
4,"Data Scientist, Game Analytics & Strategy",$80K - $156K (Glassdoor est.),the NBA,3.9,"New York, NY",1001 to 5000 Employees,1946,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,0,0,80,156,118,the ,NY,75,data scientist,na
5,Data Scientist,$103K - $200K (Glassdoor est.),Microsoft,4.4,"Redmond, WA",10000+ Employees,1975,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),0,0,103,200,151.5,Micros,WA,46,data scientist,na
6,Data Scientist,$70K - $112K (Glassdoor est.),Booz Allen Hamilton,4.2,"Norfolk, VA",10000+ Employees,1914,Company - Public,Consulting,Business Services,$5 to $10 billion (USD),0,0,70,112,91,Booz Allen Hamil,VA,107,data scientist,na
7,Sr Data Scientist,$111K - $244K (Glassdoor est.),Netflix,4.2,"Los Gatos, CA",5001 to 10000 Employees,1997,Company - Public,Internet,Information Technology,$5 to $10 billion (USD),0,0,111,244,177.5,Netf,CA,24,data scientist,senior
8,"Data Scientist, Operations Data Science",Employer Provided Salary:$95K,Google,-1,"Mountain View, CA",10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),0,1,95,95,95,Google,CA,23,data scientist,na
9,Data Scientist Analyst,$68K - $133K (Glassdoor est.),MARS,4.2,"Newark, NJ",10000+ Employees,1911,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),0,0,68,133,100.5,M,NJ,110,data scientist,na
10,Sr Data Scientist,$92K - $187K (Glassdoor est.),Disney Streaming,3.3,"New York, NY",501 to 1000 Employees,2018,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,0,0,92,187,139.5,Disney Stream,NY,3,data scientist,senior
11,Data Scientist,$96K - $180K (Glassdoor est.),"Amazon Web Services, Inc.",3.7,"Seattle, WA",10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),0,0,96,180,138,"Amazon Web Services, I",WA,27,data scientist,na
12,Data Scientist,Employer Provided Salary:$100K,Patrick J McGovern Foundation,-1,Remote,-1,-1,-1,-1,-1,-1,0,1,100,100,100,Patrick J McGovern Foundation,Remote,-1,data scientist,na
13,Senior Data Scientist,Employer Provided Salary:$100K - $130K,Aignyte,-1,Remote,-1,-1,-1,-1,-1,-1,0,1,100,130,115,Aignyte,Remote,-1,data scientist,senior
14,Junior Data Scientist,Employer Provided Salary:$40K - $75K,"Arbor Research & Trading, LLC",-1,"Lake Barrington, Lake, IL",-1,-1,-1,-1,-1,-1,0,1,40,75,57.5,"Arbor Research & Trading, LLC",Lake,-1,data scientist,na
15,Senior Data Scientist,$125K - $198K (Glassdoor est.),NVIDIA,4.6,"Santa Clara, CA",10000+ Employees,1993,Company - Public,Computer Hardware & Software,Information Technology,,0,0,125,198,161.5,NVI,CA,28,data scientist,senior
16,Data Scientist,Employer Provided Salary:$84K - $160K,DojoMojo,-1,"New York, NY",-1,-1,-1,-1,-1,-1,0,1,84,160,122,DojoMojo,NY,-1,data scientist,na
17,REMOTE - Data Scientist,$64K - $113K (Glassdoor est.),Labcorp,-1,"Westborough, MA",10000+ Employees,1995,Company - Public,Research & Development,Business Services,$10+ billion (USD),0,0,64,113,88.5,Labcorp,MA,26,data scientist,na
18,Associate Data Scientist,$84K - $155K (Glassdoor est.),Gap Inc.,3.7,"San Francisco, CA",10000+ Employees,1969,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),0,0,84,155,119.5,Gap I,CA,52,data scientist,na
19,Data Scientist,$84K - $167K (Glassdoor est.),Upgrade,4,"San Francisco, CA",201 to 500 Employees,2016,Company - Private,Lending,Finance,Less than $1 million (USD),0,0,84,167,125.5,Upgr,CA,5,data scientist,na
20,Data Scientist,Employer Provided Salary:$136K,Spanidea Systemms,3.9,"San Francisco, CA",501 to 1000 Employees,2011,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),0,1,136,136,136,Spanidea Syste,CA,10,data scientist,na
21,Data Scientist,$73K - $125K (Glassdoor est.),The Coca-Cola Company,4,"Plano, TX",10000+ Employees,1886,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),0,0,73,125,99,The Coca-Cola Comp,TX,135,data scientist,na
22,Data Scientist,$69K - $121K (Glassdoor est.),Trissential,3.8,"Michigan, ND",201 to 500 Employees,2003,Subsidiary or Business Segment,Consulting,Business Services,$25 to $50 million (USD),0,0,69,121,95,Trissent,ND,18,data scientist,na
23,Data Scientist,Employer Provided Salary:$60 - $70 Per Hour,Eminence Consulting Services,-1,Remote,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,1,1,120,140,65,Eminence Consulting Services,Remote,-1,data scientist,na
24,Data Scientist,Employer Provided Salary:$78K - $103K,Ovintiv,3.3,"The Woodlands, TX",1001 to 5000 Employees,2002,Company - Public,Oil & Gas Exploration & Production,"Oil, Gas, Energy & Utilities",Unknown / Non-Applicable,0,1,78,103,90.5,Ovin,TX,19,data scientist,na
25,Data Scientist,Employer Provided Salary:$104K - $159K,National Security Agency,-1,"Fort Meade, MD",Unknown,-1,Government,Federal Agencies,Government,Unknown / Non-Applicable,0,1,104,159,131.5,National Security Agency,MD,-1,data scientist,na
26,Data Scientist - Remote,$73K - $152K (Glassdoor est.),Harley-Davidson,3.4,"Chicago, IL",5001 to 10000 Employees,1903,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$2 to $5 billion (USD),0,0,73,152,112.5,Harley-David,IL,118,data scientist,na
27,Data Scientist,$84K - $159K (Glassdoor est.),Procter & Gamble,4.2,"Cincinnati, OH",10000+ Employees,1837,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),0,0,84,159,121.5,Procter & Gam,OH,184,data scientist,na
28,Data Scientist,$88K - $173K (Glassdoor est.),RAPP,-1,"San Francisco, CA",501 to 1000 Employees,1965,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,0,0,88,173,130.5,RAPP,CA,56,data scientist,na
29,JR. DATA SCIENTIST,$70K - $133K (Glassdoor est.),ViacomCBS,-1,"New York, NY",10000+ Employees,2019,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD),0,0,70,133,101.5,ViacomCBS,NY,2,data scientist,jr
30,"Data Scientist, Junior",$66K - $137K (Glassdoor est.),Booz Allen Hamilton,4.2,"New York, NY",10000+ Employees,1914,Company - Public,Consulting,Business Services,$5 to $10 billion (USD),0,0,66,137,101.5,Booz Allen Hamil,NY,107,data scientist,na
31,"Data Scientist, Creator Business Analysis",$108K - $208K (Glassdoor est.),Spotify,4.2,"New York, NY",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,0,0,108,208,158,Spot,NY,15,data scientist,na
32,"Data Scientist, Core Product",$75K - $161K (Glassdoor est.),Airtable,4.6,"San Francisco, CA",51 to 200 Employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,75,161,118,Airta,CA,9,data scientist,na
33,Data Scientist,$80K - $158K (Glassdoor est.),Engine No. 1,4,"San Francisco, CA",Unknown,-1,Government,Municipal Governments,Government,Unknown / Non-Applicable,0,0,80,158,119,Engine No,CA,-1,data scientist,na
34,Jr. Data Scientist,$74K - $127K (Glassdoor est.),Deloitte,4,"Falls Church, VA",10000+ Employees,1850,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD),0,0,74,127,100.5,Deloi,VA,171,data scientist,jr
35,Data Scientist,$92K - $176K (Glassdoor est.),"A9.com, Inc.",3.7,"New York, NY",10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),0,0,92,176,134,"A9.com, I",NY,27,data scientist,na
36,Data Scientist,$107K - $205K (Glassdoor est.),CyberCube,5,"San Francisco, CA",51 to 200 Employees,-1,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,107,205,156,CyberC,CA,-1,data scientist,na
37,"Data Scientist I, Product Analytics",$99K - $179K (Glassdoor est.),Tinder,-1,"San Francisco, CA",201 to 500 Employees,2012,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,0,0,99,179,139,Tinder,CA,9,data scientist,na
38,Data Scientist,$75K - $158K (Glassdoor est.),CANDY,5,"New York, NY",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,0,0,75,158,116.5,CA,NY,-1,data scientist,na
39,"Data Scientist, Revenue",$86K - $171K (Glassdoor est.),Notion,5,"San Francisco, CA",201 to 500 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,86,171,128.5,Not,CA,5,data scientist,na
40,Ecom Fraud Data Scientist,$60K - $141K (Glassdoor est.),GameStop,2.9,"Grapevine, TX",10000+ Employees,2000,Company - Public,Toy & Hobby Stores,Retail,$5 to $10 billion (USD),0,0,60,141,100.5,GameS,TX,21,data scientist,na
41,Data Scientist,$71K - $133K (Glassdoor est.),Camping World,-1,"Lincolnshire, IL",10000+ Employees,,Company - Public,,Retail,$2 to $5 billion (USD),0,0,71,133,102,Camping World,IL,-1,data scientist,na
42,Citizen Data Scientist - Remote,$69K - $138K (Glassdoor est.),Henkel,4.3,"New York, NY",10000+ Employees,1876,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),0,0,69,138,103.5,Hen,NY,145,data scientist,na
43,Climate Data Scientist,$79K - $157K (Glassdoor est.),ClimateAI,5,"San Francisco, CA",1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,0,0,79,157,118,Climat,CA,-1,data scientist,na
44,Data Scientist,$90K - $153K (Glassdoor est.),SAP,4.5,"Bellevue, WA",10000+ Employees,1972,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),0,0,90,153,121.5,,WA,49,data scientist,na
45,"Data Scientist, Game Analytics",$90K - $170K (Glassdoor est.),Niantic,3.7,"San Francisco, CA",501 to 1000 Employees,2011,Company - Private,Video Games,Media,Unknown / Non-Applicable,0,0,90,170,130,Nian,CA,10,data scientist,na
46,Data Scientist,$92K - $158K (Glassdoor est.),UKG (Ultimate Kronos Group),4.1,"San Francisco, CA",5001 to 10000 Employees,1977,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $2 billion (USD),0,0,92,158,125,UKG (Ultimate Kronos Gro,CA,44,data scientist,na
47,Statistician/Data Scientist,$73K - $133K (Glassdoor est.),Pfizer,4.2,"Saint Louis, MO",10000+ Employees,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),0,0,73,133,103,Pfi,MO,172,data scientist,na
48,Data Scientist,$82K - $147K (Glassdoor est.),FocusKPI Inc.,3.4,"San Francisco, CA",51 to 200 Employees,-1,Company - Private,Advertising & Marketing,Business Services,Less than $1 million (USD),0,0,82,147,114.5,FocusKPI I,CA,-1,data scientist,na
49,Analyst-Data Science,$74K - $153K (Glassdoor est.),Amex,4.2,"New York, NY",10000+ Employees,1850,Company - Public,Financial Transaction Processing,Finance,$10+ billion (USD),0,0,74,153,113.5,A,NY,171,analyst,na
50,"Senior Data Scientist, Core Experience",$106K - $210K (Glassdoor est.),Spotify,4.2,"New York, NY",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,0,0,106,210,158,Spot,NY,15,data scientist,senior
51,Data Scientist,$64K - $122K (Glassdoor est.),Electronic Arts,4.1,"Orlando, FL",5001 to 10000 Employees,1982,Company - Public,Video Games,Media,$2 to $5 billion (USD),0,0,64,122,93,Electronic A,FL,39,data scientist,na
52,Data scientist,$104K - $205K (Glassdoor est.),PayPal,4.1,"San Jose, CA",10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),0,0,104,205,154.5,Pay,CA,23,data scientist,na
53,Data Scientist,$71K - $133K (Glassdoor est.),Camping World,-1,"Lincolnshire, IL",10000+ Employees,1966,Company - Public,Sporting Goods Stores,Retail,$2 to $5 billion (USD),0,0,71,133,102,Camping World,IL,55,data scientist,na
54,Data Scientist,$88K - $173K (Glassdoor est.),RAPP,-1,"San Francisco, CA",501 to 1000 Employees,1965,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,0,0,88,173,130.5,RAPP,CA,56,data scientist,na
55,"Senior Data Scientist, Core Experience",$106K - $210K (Glassdoor est.),Spotify,4.2,"New York, NY",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,0,0,106,210,158,Spot,NY,15,data scientist,senior
56,"Data Scientist, Junior",$66K - $137K (Glassdoor est.),Booz Allen Hamilton,4.2,"New York, NY",10000+ Employees,1914,Company - Public,Consulting,Business Services,$5 to $10 billion (USD),0,0,66,137,101.5,Booz Allen Hamil,NY,107,data scientist,na
57,"Data Scientist, Core Product",$75K - $161K (Glassdoor est.),Airtable,4.6,"San Francisco, CA",51 to 200 Employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,75,161,118,Airta,CA,9,data scientist,na
58,Ecom Fraud Data Scientist,$60K - $141K (Glassdoor est.),GameStop,2.9,"Grapevine, TX",10000+ Employees,2000,Company - Public,Toy & Hobby Stores,Retail,$5 to $10 billion (USD),0,0,60,141,100.5,GameS,TX,21,data scientist,na
59,"Data Scientist I, Product Analytics",$99K - $179K (Glassdoor est.),Tinder,-1,"San Francisco, CA",201 to 500 Employees,2012,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,0,0,99,179,139,Tinder,CA,9,data scientist,na
60,Data Scientist,$90K - $153K (Glassdoor est.),SAP,4.5,"Bellevue, WA",10000+ Employees,1972,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),0,0,90,153,121.5,,WA,49,data scientist,na
61,Data Scientist (All Levels),$85K - $167K (Glassdoor est.),Convoy,3.8,"Seattle, WA",501 to 1000 Employees,2015,Company - Private,Trucking,Transportation & Logistics,Unknown / Non-Applicable,0,0,85,167,126,Con,WA,6,data scientist,na
62,Data Scientist,$80K - $158K (Glassdoor est.),Engine No. 1,4,"San Francisco, CA",Unknown,-1,Government,Municipal Governments,Government,Unknown / Non-Applicable,0,0,80,158,119,Engine No,CA,-1,data scientist,na
63,"Data Scientist, Game Analytics",$90K - $170K (Glassdoor est.),Niantic,3.7,"San Francisco, CA",501 to 1000 Employees,2011,Company - Private,Video Games,,Unknown / Non-Applicable,0,0,90,170,130,Nian,CA,10,data scientist,na
64,"Data Scientist 1, People Analytics (remote position)",$62K - $124K (Glassdoor est.),Nordstrom Inc,3.7,"Seattle, WA",10000+ Employees,1901,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),0,0,62,124,93,Nordstrom ,WA,120,data scientist,na
65,"Data Scientist, University Graduate - 2022 Start",$82K - $173K (Glassdoor est.),TikTok,-1,"Mountain View, CA",1001 to 5000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,0,0,82,173,127.5,TikTok,CA,5,data scientist,na
66,Analyst-Data Science,$74K - $153K (Glassdoor est.),Amex,4.2,"New York, NY",10000+ Employees,1850,Company - Public,Financial Transaction Processing,Finance,$10+ billion (USD),0,0,74,153,113.5,A,NY,171,analyst,na
67,Statistician/Data Scientist,$79K - $132K (Glassdoor est.),Pfizer,4.2,"Groton, CT",10000+ Employees,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),0,0,79,132,105.5,Pfi,CT,172,data scientist,na
68,"Data Scientist, Revenue",$86K - $171K (Glassdoor est.),Notion,5,"San Francisco, CA",201 to 500 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,86,171,128.5,Not,CA,5,data scientist,na
69,Environmental Data Scientist/Analytics,$63K - $117K (Glassdoor est.),Abt Associates,3.5,"Rockville, MD",1001 to 5000 Employees,1965,Company - Private,Research & Development,Business Services,$500 million to $1 billion (USD),0,0,63,117,90,Abt Associa,MD,56,data scientist,na
70,Data Scientist,$107K - $205K (Glassdoor est.),CyberCube,5,"San Francisco, CA",51 to 200 Employees,-1,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,107,205,156,CyberC,CA,-1,data scientist,na
71,Data Scientist II - Algorithmic Justice Specialist,Employer Provided Salary:$116K,ACLU,3.9,"New York, NY",201 to 500 Employees,1920,Nonprofit Organization,Membership Organizations,Business Services,$50 to $100 million (USD),0,1,116,116,116,A,NY,101,data scientist,na
72,Data Scientist-Operations Research,$59K - $126K (Glassdoor est.),E. & J. Gallo Winery,4.3,"Modesto, CA",5001 to 10000 Employees,1933,Company - Private,Food & Beverage Manufacturing,Manufacturing,$2 to $5 billion (USD),0,0,59,126,92.5,E. & J. Gallo Win,CA,88,data scientist,na
73,Sr. Data Scientist,$79K - $141K (Glassdoor est.),TARGET,3.7,"Minneapolis, MN",10000+ Employees,1962,Company - Public,General Merchandise & Superstores,Retail,$10+ billion (USD),0,0,79,141,110,TAR,MN,59,data scientist,senior
74,Data Scientist,$88K - $148K (Glassdoor est.),Alaska Airlines,4.1,"Seattle, WA",10000+ Employees,1932,Company - Public,Airlines,Travel & Tourism,$5 to $10 billion (USD),0,0,88,148,118,Alaska Airli,WA,89,data scientist,na
75,Data Scientist - Fraud Analytics (All Levels),$59K - $124K (Glassdoor est.),99,3.9,"Mountain View, CA",501 to 1000 Employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,0,0,59,124,91.5,,CA,9,data scientist,na
76,Operations Research Data Scientist,$75K - $156K (Glassdoor est.),Delta,4.4,"Atlanta, GA",10000+ Employees,1928,Company - Public,Airlines,Travel & Tourism,$10+ billion (USD),0,0,75,156,115.5,De,GA,93,data scientist,na
77,Data Scientist,$81K - $140K (Glassdoor est.),PayPal,4.1,"Omaha, NE",10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),0,0,81,140,110.5,Pay,NE,23,data scientist,na
78,"Data Scientist 1, People Analytics (remote position)",$62K - $124K (Glassdoor est.),Nordstrom Inc,3.7,"Seattle, WA",10000+ Employees,1901,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),0,0,62,124,93,Nordstrom ,WA,120,data scientist,na
79,"Senior Data Scientist, Core Experience",$106K - $210K (Glassdoor est.),Spotify,4.2,"New York, NY",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,0,0,106,210,158,Spot,NY,15,data scientist,senior
80,"Data Scientist, Junior",$66K - $137K (Glassdoor est.),Booz Allen Hamilton,4.2,"New York, NY",10000+ Employees,1914,Company - Public,Consulting,Business Services,$5 to $10 billion (USD),0,0,66,137,101.5,Booz Allen Hamil,NY,107,data scientist,na
81,Data Scientist,$88K - $173K (Glassdoor est.),RAPP,-1,"San Francisco, CA",501 to 1000 Employees,1965,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,0,0,88,173,130.5,RAPP,CA,56,data scientist,na
82,Ecom Fraud Data Scientist,$60K - $141K (Glassdoor est.),GameStop,2.9,"Grapevine, TX",10000+ Employees,2000,Company - Public,Toy & Hobby Stores,Retail,$5 to $10 billion (USD),0,0,60,141,100.5,GameS,TX,21,data scientist,na
83,"Data Scientist, Core Product",$75K - $161K (Glassdoor est.),Airtable,4.6,"San Francisco, CA",51 to 200 Employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,75,161,118,Airta,CA,9,data scientist,na
84,Data Scientist II - Algorithmic Justice Specialist,Employer Provided Salary:$116K,ACLU,3.9,"New York, NY",201 to 500 Employees,1920,Nonprofit Organization,Membership Organizations,Business Services,$50 to $100 million (USD),0,1,116,116,116,A,NY,101,data scientist,na
85,Environmental Data Scientist/Analytics,$63K - $117K (Glassdoor est.),Abt Associates,3.5,"Rockville, MD",1001 to 5000 Employees,1965,Company - Private,Research & Development,Business Services,$500 million to $1 billion (USD),0,0,63,117,90,Abt Associa,MD,56,data scientist,na
86,"Data Scientist I, Product Analytics",$99K - $179K (Glassdoor est.),Tinder,-1,"San Francisco, CA",201 to 500 Employees,2012,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,0,0,99,179,139,Tinder,CA,9,data scientist,na
